ZIP Code,YoY Growth 2024,Total Policies 2024,YoY Growth 2023,Total Policies 2023,YoY Growth 2022,Total Policies 2022,YoY Growth 2021,Total Policies 2021,Total Policies 2020
91320,213.90%,653,55.20%,208,24.10%,134,22.70%,108,88
91360,235.00%,412,61.80%,123,13.40%,76,11.70%,67,60
91361,110.20%,1011,10.80%,481,19.60%,434,61.30%,363,225
91362,204.40%,828,61.90%,272,29.20%,168,41.30%,130,92
91377,258.80%,427,50.60%,119,3.90%,79,28.80%,76,59
93001,56.70%,467,25.70%,298,20.90%,237,46.30%,196,134
93003,205.00%,244,70.20%,80,14.60%,47,70.80%,41,24
93004,172.70%,60,57.10%,22,55.60%,14,200.00%,9,3
93010,158.70%,119,27.80%,46,20.00%,36,100.00%,30,15
93012,113.50%,316,29.80%,148,22.60%,114,63.20%,93,57
93015,30.90%,195,12.00%,149,68.40%,133,54.90%,79,51
93021,91.30%,503,41.40%,263,31.00%,186,86.80%,142,76
93022,126.00%,217,77.80%,96,74.20%,54,34.80%,31,23
93023,59.60%,1293,35.50%,810,69.40%,598,104.00%,353,173
93030,120.00%,33,7.10%,15,16.70%,14,7.70%,12,13
93033,128.60%,96,75.00%,42,11.10%,24,35.00%,27,20
93035,137.50%,38,14.30%,16,6.70%,14,25.00%,15,12
93036,67.90%,47,64.70%,28,10.50%,17,26.70%,19,15
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
93040,41.70%,34,26.30%,24,46.20%,19,30.00%,13,10
93041,300.00%,24,0.00%,6,50.00%,6,33.30%,4,3
93060,44.30%,391,22.60%,271,34.80%,221,105.00%,164,80
93063,95.50%,739,18.90%,378,11.60%,318,14.00%,285,250
93065,164.80%,932,55.80%,352,20.90%,226,34.50%,187,139
93066,43.80%,105,23.70%,73,9.30%,59,440.00%,54,10
95605,122.20%,20,800.00%,9,0.00%,1,100.00%,,2
95606,20.00%,4,25.00%,5,100.00%,4,0.00%,2,
95607,16.70%,5,200.00%,6,100.00%,2,0.00%,1,
95612,0.00%,1,0.00%,1,0.00%,,100.00%,,1
95616,33.30%,4,50.00%,3,0.00%,2,33.30%,2,3
95618,20.00%,6,400.00%,5,0.00%,1,0.00%,1,
95627,600.00%,7,0.00%,1,0.00%,,100.00%,,1
95637,66.70%,15,80.00%,9,150.00%,5,0.00%,2,
95679,11.10%,10,80.00%,9,16.70%,5,50.00%,6,4
95691,27.60%,21,383.30%,29,80.00%,6,3.40%,30,29
95694,48.40%,46,34.80%,31,109.10%,23,175.00%,11,4
95695,150.00%,15,50.00%,6,0.00%,4,0.00%,4,4
95698,0.00%,1,0.00%,1,0.00%,1,0.00%,1,1
95776,0.00%,10,0.00%,,100.00%,,0.00%,2,
95937,0.00%,1,0.00%,1,0.00%,1,0.00%,1,1
95692,162.50%,21,100.00%,8,0.00%,4,100.00%,4,2
95901,118.70%,199,89.60%,91,14.30%,48,50.00%,42,28
95918,53.20%,170,52.10%,111,52.10%,73,54.80%,48,31
95919,14.70%,258,9.20%,225,12.00%,206,23.50%,184,149
95922,6.50%,98,13.60%,92,0.00%,81,28.60%,81,63
95925,15.00%,46,2.60%,40,67.20%,39,28.00%,119,93
95935,17.00%,165,18.50%,141,20.20%,119,22.20%,99,81
95961,112.50%,17,100.00%,8,76.50%,4,466.70%,17,3
95962,15.70%,243,22.10%,210,16.20%,172,21.30%,148,122
95972,21.40%,34,40.00%,28,33.30%,20,16.70%,15,18
95981,41.80%,124,17.00%,213,82.00%,182,20.50%,100,83
1,,,,,09302024.,,,,
